id;name;image_url;description
1;mobile partnerships;generate;exploit
2;iterate Shirt;Progressive Jersey Hat;eyeballs
3;Berkshire Representative Central;redundant web-enabled;Rupee Hryvnia Wooden
4;Bacon;Granite Quality;SSL middleware alarm
5;expedite RSS;value-added Granite Organized;Orchestrator state card
6;multi-tasking service-desk cross-platform;Pizza mobile;Savings multi-byte Soap
7;interfaces;success Sports capacitor;quantify attitude-oriented Savings
8;Borders open-source e-business;Officer;Malaysia didactic microchip
9;Oro core synthesizing;front-end;Pre-emptive Paradigm Ergonomic
10;withdrawal zero Rica;deposit Rubber Azerbaijanian;Licensed programming
